CaseNum,RYCohort,donatesum,SpouseAlum,SportsAlum,UGAlumAwards,OtherUGAct,EverAssigned,BoardMember,ChildAlum,ParentAlum,SiblingAlum,GradDegree,TotalReunions,OnePlusEvents,Years Lapsed
144,1964,2,0,0,0,0,0,0,1,0,0,0,0,1,3
145,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,2
146,1959,1,0,0,0,0,0,0,0,0,0,0,0,1,3
147,1969,0,0,0,0,0,0,0,0,0,0,0,0,1,22
148,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149,1959,0,1,0,0,1,0,0,0,0,0,1,0,0,28
150,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,14
151,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
152,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,34
153,1964,2,0,1,0,0,0,0,0,0,0,0,3,0,1
154,1969,2,0,0,0,1,1,1,0,0,0,0,10,1,2
155,1954,1,0,1,0,0,0,0,0,0,0,0,2,0,20
156,1954,1,0,1,0,1,0,0,0,0,0,0,0,0,48
157,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,48
158,1959,2,0,0,0,1,0,1,0,0,0,0,11,1,1
159,1969,0,1,1,0,0,0,0,1,0,0,1,0,0,10
160,1969,2,0,0,1,0,0,0,0,0,0,0,0,0,4
161,1969,1,0,0,0,0,0,1,0,0,0,1,1,1,2
162,1964,1,0,0,0,0,0,1,0,0,0,0,1,0,1
163,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
164,1954,1,0,1,0,0,0,0,0,0,0,0,0,0,27
165,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,1
166,1969,0,0,0,0,0,0,0,0,0,0,0,16,1,1
167,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
168,1969,1,0,0,0,1,0,0,0,0,1,0,6,0,1
169,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,48
170,1969,2,1,0,0,0,0,0,0,0,0,1,4,1,1
171,1969,0,0,0,0,0,0,0,0,0,0,0,0,1,48
172,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,48
173,1969,0,0,0,0,1,0,0,0,0,0,0,0,1,31
174,1969,0,0,0,0,0,0,0,0,0,0,0,0,1,48
175,1959,1,0,0,0,0,0,0,0,0,0,0,0,1,1
176,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
177,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
178,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,22
179,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,6
180,1954,1,0,1,0,1,0,0,0,0,0,0,3,0,2
181,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
182,1954,2,0,0,0,1,0,0,0,0,0,0,0,1,5
183,1969,0,0,0,0,0,0,0,0,0,0,0,3,0,48
184,1969,2,0,1,0,0,1,0,0,1,0,0,0,1,7
185,1954,2,0,0,0,1,0,0,0,0,0,0,0,1,0
